District,State,Students,Charter_Percent,ELL_Percent,IEP_Percent,Low_Income_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
DETROIT PUBLIC SCHOOLS COMMUNITY DISTRICT,Michigan,45455,0,0.12,0.17,0.767088329,17.66,0.96,1
LOS ANGELES UNIFIED,California,633621,0.28,0.21,0.14,0.785723642,22.56,0.991,1
CITY OF CHICAGO SD 299,Illinois,378199,0.07,0.16,0.14,0.834811832,19.89,1.15,0
DADE,Florida,357249,0.24,0.21,0.1,0.708192325,17.11,1.023,0
CLARK COUNTY SCHOOL DISTRICT,Nevada,326953,0.04,0.18,0.12,0.694803229,20.1,0.932,0
BROWARD,Florida,271852,0.29,0.12,0.13,0.618888219,16.58,1.011,0
HOUSTON ISD,Texas,216106,0.11,0.29,0.07,0.769802782,18.72,0.959,0
HILLSBOROUGH,Florida,214386,0.13,0.12,0.14,0.581656451,11.74,1.077,0
PALM BEACH,Florida,192721,0.19,0.13,0.16,0.591824451,15.18,0.997,0
FAIRFAX CO PBLC SCHS,Virginia,187467,0,0.19,0.14,0.269151371,15.01,1.064,0
HAWAII DEPARTMENT OF EDUCATION,Hawaii,181550,0.12,0.07,0.11,0.47576976,15.41,0.932,0
GWINNETT COUNTY,Georgia,178214,0.01,0.13,0.12,0.546000875,16.02,1.018,0
WAKE COUNTY SCHOOLS,North Carolina,160467,0,0.07,0.13,0.343347853,16.06,1.172,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,Maryland,159010,0,0.15,0.12,0.351116282,14.85,0.84,0
DALLAS ISD,Texas,157886,0,0.4,0.08,0.877766236,15.02,0.967,0
CHARLOTTE-MECKLENBURG SCHOOLS,North Carolina,147428,0,0.11,0.09,0.602483924,16.16,1.101,0
PHILADELPHIA CITY SD,Pennsylvania,133929,0,0.1,0.18,0.97504648,16.84,0.908,0
PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,Maryland,130814,0.05,0.17,0.11,0.674369716,14.49,0.987,0
DUVAL,Florida,129479,0.17,0.05,0.14,0.520346929,17.75,1.02,0
